dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,124.142989,251.610419,13.596291,16.684040,10.366273,-2.378264,0.024469
0.020000,124.480696,251.618656,13.934099,16.890401,10.318031,-2.412069,0.024293
0.020000,124.822512,251.626925,14.276015,17.095782,10.269054,-2.448873,0.024074
0.020000,125.168416,251.635209,14.622018,17.300169,10.219376,-2.483895,0.023810
0.020000,125.518389,251.643491,14.972089,17.503550,10.169034,-2.517096,0.023500
0.020000,125.872411,251.651750,15.326207,17.705908,10.117904,-2.556516,0.023141
0.020000,126.230461,251.659965,15.684352,17.907229,10.066053,-2.592504,0.022733
0.020000,126.592519,251.668116,16.046502,18.107501,10.013600,-2.622695,0.022273
0.020000,126.958565,251.676177,16.412636,18.306706,9.960256,-2.667165,0.021760
0.020000,127.328576,251.684126,16.782732,18.504833,9.906363,-2.694654,0.021191
0.020000,127.702532,251.691937,17.156770,18.701864,9.851529,-2.741688,0.020566
0.020000,128.080410,251.699582,17.534725,18.897786,9.796102,-2.771364,0.019882
0.020000,128.462189,251.707033,17.916577,19.092585,9.739929,-2.808665,0.019137
0.020000,128.847846,251.714260,18.302302,19.286245,9.683001,-2.846390,0.018329
0.020000,129.237359,251.721232,18.691877,19.478751,9.625311,-2.884484,0.017457
0.020000,129.630704,251.727916,19.085279,19.670088,9.566854,-2.922883,0.016518
0.020000,130.027858,251.734279,19.482484,19.860240,9.507623,-2.961510,0.015511
0.020000,130.428797,251.740284,19.883468,20.049195,9.447711,-2.995647,0.014433
0.020000,130.833497,251.745894,20.288206,20.236938,9.387169,-3.027080,0.013283
0.020000,131.241933,251.751072,20.696675,20.423449,9.325561,-3.080404,0.012058
0.020000,131.654080,251.755776,21.108850,20.608719,9.263490,-3.103533,0.010756
0.020000,132.069914,251.759964,21.524704,20.792733,9.200679,-3.140539,0.009376
0.020000,132.489408,251.763594,21.944214,20.975471,9.136923,-3.187798,0.007915
0.020000,132.912535,251.766619,22.367352,21.156923,9.072603,-3.216043,0.006372
0.020000,133.339270,251.768993,22.794094,21.337074,9.007545,-3.252899,0.004743
0.020000,133.769585,251.770667,23.224412,21.515909,8.941760,-3.289238,0.003026
0.020000,134.203452,251.771591,23.658280,21.693415,8.875273,-3.324345,0.001220
0.020000,134.640844,251.771712,24.095672,21.869582,8.808378,-3.344763,6.282508
0.020000,135.081731,251.770978,24.536560,22.044388,8.740284,-3.404688,6.280516
0.020000,135.526085,251.769331,24.980916,22.217829,8.672071,-3.410652,6.278428
0.020000,135.973875,251.766714,25.428714,22.389887,8.602873,-3.459916,6.276241
0.020000,136.425071,251.763068,25.879925,22.560558,8.533565,-3.465390,6.273954
0.020000,136.879643,251.758331,26.334522,22.729822,8.463205,-3.517968,6.271563
0.020000,137.337559,251.752440,26.792475,22.897675,8.392613,-3.529609,6.269066
0.020000,137.798786,251.745330,27.253757,23.064105,8.321534,-3.553949,6.266461
0.020000,138.263292,251.736934,27.718339,23.229106,8.250021,-3.575641,6.263746
0.020000,138.731044,251.727182,28.186193,23.392668,8.178136,-3.594260,6.260919
0.020000,139.202007,251.716004,28.657288,23.554788,8.105980,-3.607793,6.257976
0.020000,139.676147,251.703326,29.131598,23.715461,8.033634,-3.617314,6.254915
0.020000,140.153428,251.689074,29.609091,23.874680,7.960948,-3.634304,6.251734
0.020000,140.633813,251.673171,30.089740,24.032448,7.888405,-3.627132,6.248431
0.020000,141.117267,251.655536,30.573515,24.188762,7.815693,-3.635612,6.245003
0.020000,141.603751,251.636091,31.060388,24.343625,7.743190,-3.625163,6.241448
0.020000,142.093227,251.614750,31.550329,24.497042,7.670824,-3.618289,6.237763
0.020000,142.585656,251.591430,32.043309,24.649018,7.598828,-3.599783,6.233946
0.020000,143.080997,251.566044,32.539300,24.799564,7.527272,-3.577808,6.229995
0.020000,143.579210,251.538502,33.038274,24.948690,7.456311,-3.548072,6.225906
0.020000,144.080253,251.508713,33.540202,25.096408,7.385897,-3.520717,6.221679
0.020000,144.584085,251.476585,34.045057,25.242741,7.316642,-3.462707,6.217309
0.020000,145.090633,251.442024,34.552783,25.386281,7.177023,-6.980980,6.212797
0.020000,145.599797,251.404939,35.063295,25.525629,6.967397,-10.481303,6.208139
0.020000,146.111476,251.365236,35.576513,25.660866,6.761815,-10.279092,6.203334
0.020000,146.625570,251.322821,36.092353,25.792028,6.558105,-10.185491,6.198381
0.020000,147.141977,251.277601,36.610737,25.919200,6.358614,-9.974533,6.193279
0.020000,147.660599,251.229479,37.131586,26.042449,6.162470,-9.807204,6.188025
0.020000,148.181333,251.178361,37.654823,26.161849,5.969980,-9.624500,6.182620
0.020000,148.704079,251.124150,38.180373,26.277480,5.781561,-9.420944,6.177061
0.020000,149.228737,251.066751,38.708161,26.389430,5.597488,-9.203649,6.171348
0.020000,149.755207,251.006067,39.238117,26.497791,5.418043,-8.972293,6.165481
0.020000,150.283389,250.942001,39.770170,26.602661,5.243510,-8.726628,6.159458
0.020000,150.813183,250.874458,40.304253,26.704126,5.073262,-8.512394,6.153280
0.020000,151.344491,250.803342,40.840299,26.802307,4.909050,-8.210627,6.146946
0.020000,151.877214,250.728556,41.378246,26.897334,4.751359,-7.884543,6.140457
0.020000,152.411253,250.650006,41.918031,26.989259,4.596249,-7.755475,6.133812
0.020000,152.946512,250.567596,42.459597,27.078295,4.451781,-7.223427,6.127011
0.020000,153.482894,250.481233,43.002887,27.164488,4.309640,-7.107053,6.120056
0.020000,154.020302,250.390823,43.547847,27.248009,4.176046,-6.679686,6.112948
0.020000,154.558642,250.296274,44.094427,27.329002,4.049656,-6.319482,6.105686
0.020000,155.097820,250.197494,44.642579,27.407588,3.929286,-6.018523,6.098273
0.020000,155.637743,250.094393,45.192257,27.483905,3.815852,-5.671711,6.090710
0.020000,156.178318,249.986883,45.743419,27.558103,3.709907,-5.297247,6.082999
0.020000,156.719454,249.874875,46.296026,27.630357,3.612708,-4.859930,6.075141
0.020000,157.193073,249.773146,46.780446,24.221022,-170.466729,-8703.971838,6.067353
0.020000,157.663890,249.666409,47.263211,24.138241,-4.139057,8316.383593,6.053158
0.020000,158.136290,249.552243,47.749211,24.299990,8.087462,611.325932,6.038982
0.020000,158.610308,249.430557,48.238599,24.469379,8.469443,19.099081,6.024843
0.020000,159.085979,249.301264,48.731528,24.646484,8.855247,19.290202,6.010759
0.020000,159.563343,249.164282,49.228157,24.831454,9.248505,19.662861,5.996748
0.020000,160.042438,249.019530,49.728642,25.024236,9.639062,19.527851,5.982829
0.020000,160.523297,248.866939,50.233132,25.224475,10.011953,18.644544,5.969019
0.020000,161.005959,248.706438,50.741780,25.432427,10.397603,19.282500,5.955337
